Data Source,World Development Indicators,
Last Updated Date,2/05/2018,
,,
Country Name,GDP per capita,Life expectancy at birth
Afghanistan,59.7773265083934,32.292
Australia,1809.31145170851,70.8170731707317
Austria,935.460426850415,68.5856097560976
Burundi,70.3490786064852,41.281
Belgium,1273.69165910289,69.7019512195122
Benin,93.0225089907107,37.271
Burkina Faso,68.4247485693251,34.432
Bangladesh,88.6912106294731,45.831
"Bahamas, The",1550.32431495716,62.881
Belize,304.917107253962,59.981
Bolivia,152.461845803403,42.138
Brazil,210.027470429478,54.241
Botswana,57.9776818816842,50.661
Central African Republic,74.5959442514248,36.489
Canada,2294.56881421577,71.1331707317073
Switzerland,1787.36034770201,71.3134146341463
Chile,532.616266826495,57.285
China,89.5205415103584,43.725
Cote d'Ivoire,153.471594052014,36.865
Cameroon,119.534187181074,41.546
"Congo, Dem. Rep.",220.314063056673,41.098
"Congo, Rep.",127.004745925645,48.602
Colombia,245.197466207564,56.752
Costa Rica,380.719130704896,60.556
Caribbean small states,477.522269866658,62.3706910812823
Denmark,1364.51716017255,72.1765853658537
Dominican Republic,204.126025108362,51.787
Algeria,244.824806483632,46.138
East Asia & Pacific (excluding high income),90.0700555150192,45.7246328287819
Early-demographic dividend,155.601362372954,45.2114230432004
East Asia & Pacific,147.711685546676,48.4552640139166
Europe & Central Asia,648.648500152259,67.0374456460047
Ecuador,222.266862762517,53.236
Euro area,924.586066341843,69.274483684014
Spain,396.392253337614,69.1092682926829
European Union,876.539262335015,69.2800447154363
Finland,1179.35301099994,68.819756097561
Fiji,285.542500528956,55.86
France,1338.29960630568,69.8682926829268
Gabon,283.400464698401,39.587
United Kingdom,1380.30624126257,71.1268292682927
Ghana,182.979191212292,45.844
Greece,533.686381232649,68.1639024390244
Guatemala,247.841986231897,46.702
Guyana,297.673299079368,60.26
High income,1405.04125965869,68.4973559010099
"Hong Kong SAR, China",429.442874392053,66.9616829268293
Honduras,164.644318728641,46.274
Heavily indebted poor countries (HIPC),107.652681871115,39.5745923289298
IBRD only,153.834171641122,48.6739844606937
IDA & IBRD total,144.544071093994,47.5501691614769
IDA total,100.937530473301,41.9212242001905
IDA blend,101.673562608248,43.605100572378
India,81.2847637465264,41.174
Ireland,685.61471237976,69.796512195122
"Iran, Islamic Rep.",191.680877458532,44.947
Iraq,231.025617243713,48.022
Iceland,1414.98226940621,73.4231707317073
Italy,804.492623346178,69.1239024390244
Jamaica,429.325853115132,64.387
Japan,478.995340162869,67.6660975609756
Kenya,97.6215305786395,46.348
Cambodia,111.342479726807,41.242
"Korea, Rep.",158.236636232018,53.0018048780488
Latin America & Caribbean (excluding high income),355.120541922598,55.6772356909768
Liberia,170.037837640017,34.671
Latin America & Caribbean,368.507774445533,56.0544135925826
Sri Lanka,142.779549586437,59.369
Low & middle income,142.417937229663,47.2957074748593
Lesotho,40.6055353025475,46.602
Late-demographic dividend,155.832327114385,50.2453900698002
Luxembourg,2242.0158166161,68.4463902439024
Morocco,164.800779039246,48.458
Madagascar,131.993036021481,39.962
Mexico,342.016285801226,57.082
Middle income,146.234118999007,47.895408250098
Mauritania,107.915026767818,43.488
Malawi,45.0331526090051,37.805
Malaysia,234.916892903272,59.466
North America,2942.62886994412,69.89360375709
Niger,132.652162430184,35.045
Nigeria,92.9618001456259,36.975
Netherlands,1068.78458723735,73.3926829268293
Norway,1441.75566002633,73.549756097561
Nepal,50.5151404450504,35.197
New Zealand,2312.94999239859,71.2365853658537
OECD members,1358.10737427714,67.3509487979172
Pakistan,82.5472458033972,45.265
Panama,474.125821659233,60.862
Peru,255.618369805832,47.694
Philippines,254.427071304839,57.867
Papua New Guinea,114.636032029372,41.891
Pre-demographic dividend,55.316987009382,38.7993371502927
Puerto Rico,717.514843087362,68.7196097560976
Portugal,360.499298506858,62.8089268292683
Post-demographic dividend,1384.24170653318,68.7289512238253
Rwanda,40.5668807961198,42.292
South Asia,81.3798178680504,41.9539025639737
Sudan,124.512169921714,48.194
Senegal,247.236284269612,38.223
Singapore,427.880407170242,65.6598292682927
Sierra Leone,140.180257616588,30.371
Sub-Saharan Africa (excluding high income),132.845569400868,40.3770124521921
Sub-Saharan Africa,132.868059578168,40.3770124521921
Suriname,323.658635840064,59.66
Sweden,1983.10654403097,73.0056097560976
Swaziland,100.454668666139,44.285
Syrian Arab Republic,187.537374273096,51.971
Chad,104.472101193636,38.019
East Asia & Pacific (IDA & IBRD countries),91.0519255024829,45.6524961200247
Togo,76.6384541690086,40.297
Thailand,100.767596362992,54.703
Latin America & the Caribbean (IDA & IBRD countries),362.906040769916,55.6350900148908
South Asia (IDA & IBRD),81.3798178680504,41.9539025639737
Sub-Saharan Africa (IDA & IBRD countries),132.868059578169,40.3770124521921
Trinidad and Tobago,631.329859370633,62.625
Turkey,509.424111754814,45.369
Uganda,62.315122319985,43.991
Upper middle income,185.726943724466,49.8353395438938
Uruguay,489.350135974915,67.782
United States,3007.12344537862,69.7707317073171
St. Vincent and the Grenadines,161.417161159312,58.03
"Venezuela, RB",1072.43199656743,59.253
Virgin Islands (U.S.),744.615384615385,66.2248536585366
World,450.724495285558,52.5716582758048
South Africa,433.941193590146,52.215
Zambia,234.166194283717,45.124
Zimbabwe,280.994585801398,51.565
