Data Source,World Development Indicators,
Last Updated Date,2/05/2018,
,,
Country Name,GDP per capita,Life expectancy at birth
Aruba,24271.9404205267,75.016
Afghanistan,553.300289383064,61.226
Angola,3529.05348173757,58.192
Albania,4094.35883191918,76.652
Arab World,5917.57430778759,70.0410543466168
United Arab Emirates,35049.1483168035,76.344
Argentina,10276.2604977053,75.595
Armenia,3218.38165488465,73.331
Antigua and Barbuda,12174.6978594572,75.412
Australia,51874.0804819957,81.6951219512195
Austria,46858.0432733717,80.5804878048781
Azerbaijan,5842.80578358576,70.987
Burundi,231.194325649216,54.861
Belgium,44380.1766327308,80.1829268292683
Benin,757.695907409378,59.319
Burkina Faso,575.446452687734,57.096
Bangladesh,757.671757176894,70.198
Bulgaria,6843.26328885315,73.5121951219512
Bahrain,20722.1038895508,76.056
"Bahamas, The",21921.5590634977,74.761
Bosnia and Herzegovina,4614.8290411405,75.905
Belarus,6029.3967998293,70.4048780487805
Belize,4344.15017661252,69.676
Bermuda,88207.3275597322,79.2885365853658
Bolivia,1981.16070450437,66.408
Brazil,11224.1540829355,73.838
Barbados,15959.0297922874,74.973
Brunei Darussalam,35268.1011703581,76.719
Bhutan,2178.92138307967,67.79
Botswana,6346.15620387349,59.868
Central African Republic,446.443449375206,47.56
Canada,47447.4760241936,81.1975609756098
Central Europe and the Baltics,12567.1283124459,75.2953487288
Switzerland,74605.7210207051,82.2463414634147
Chile,12860.1776447469,78.454
China,4560.51258600929,75.236
Cote d'Ivoire,1219.74909551521,50.423
Cameroon,1309.12220801948,55.424
"Congo, Dem. Rep.",318.075751596552,56.907
"Congo, Rep.",2737.34233022991,60.473
Colombia,6250.65492574579,73.325
Comoros,769.174288260466,61.862
Cabo Verde,3312.82598480901,71.941
Costa Rica,8199.41462068027,78.756
Caribbean small states,8726.32615363309,72.2523920321063
Cuba,5676.14140269906,78.959
Cyprus,30818.4639574235,79.43
Czech Republic,19808.0710912519,77.4243902439025
Germany,41785.556912554,79.9878048780488
Djibouti,1325.99072352076,60.383
Denmark,58041.4112245601,79.1
Dominican Republic,5451.06695994465,72.702
Algeria,4463.39467488951,74.676
East Asia & Pacific (excluding high income),4007.3237826445,73.4823446954104
Early-demographic dividend,2926.48390729671,67.9557324425197
East Asia & Pacific,7674.4757046682,74.3839149720827
Europe & Central Asia (excluding high income),7822.76250917472,70.8365689933194
Europe & Central Asia,23536.9688001663,75.9292351446555
Ecuador,4657.3023611471,75.046
"Egypt, Arab Rep.",2602.47954869567,70.357
Euro area,37617.72231252,80.7467810041428
Eritrea,482.1490904235,62.181
Spain,30736.6278530812,81.6268292682927
Estonia,14638.6048173457,75.4292682926829
Ethiopia,341.309909200504,61.625
European Union,33687.5881720323,79.7248489702654
Fragile and conflict affected situations,1466.46802085725,60.2635411848704
Finland,46202.4151628454,79.8707317073171
Fiji,3651.96678405546,69.267
France,40703.3459209005,81.6634146341464
Faroe Islands,47397.9029229641,80.6365853658537
"Micronesia, Fed. Sts.",2861.77134805435,68.582
Gabon,8754.11392185095,62.893
United Kingdom,38893.0184937365,80.4024390243903
Georgia,2964.47703373088,72.649
Ghana,1312.60755731025,60.924
Guinea,635.671485240139,56.765
"Gambia, The",562.482515877715,59.622
Guinea-Bissau,546.721668646992,55.05
Equatorial Guinea,17136.4456757583,55.908
Greece,26917.7589787254,80.3878048780488
Grenada,7365.6666592364,72.618
Greenland,40532.5081049667,70.8570731707317
Guatemala,2825.52406953376,71.494
Guam,30700.4340081784,78.134
Guyana,3044.94912901667,66.022
High income,39326.9526566883,79.8188624377651
"Hong Kong SAR, China",32549.998231121,82.9780487804878
Honduras,1932.85828999689,72.446
Heavily indebted poor countries (HIPC),742.471894124782,59.0015934153104
Croatia,13505.7458630323,76.4756097560976
Haiti,662.279518162433,61.296
Hungary,13092.2337567695,74.2073170731707
IBRD only,4508.76827481404,71.3043366806453
IDA & IBRD total,3691.78505976524,68.9242670462198
IDA total,1059.37220531181,61.2473614036301
IDA blend,1561.40389054079,59.447070188262
Indonesia,3113.48063451433,68.15
IDA only,806.079683857896,62.1330487989925
India,1345.77015320886,66.625
Ireland,48671.8882936068,80.7439024390244
"Iran, Islamic Rep.",6531.9274296787,73.932
Iraq,4502.74904825726,68.465
Iceland,41851.7354772988,81.8975609756098
Israel,30642.9406174863,81.6024390243902
Italy,35849.3731979401,82.0365853658537
Jamaica,4682.52124815387,74.883
Jordan,3679.19027463278,73.412
Japan,44507.6763859172,82.8426829268293
Kazakhstan,9070.64997199985,68.2953658536585
Kenya,967.340077341325,62.936
Kyrgyz Republic,880.037775119109,69.3
Cambodia,785.692884137826,66.555
Kiribati,1493.16051003948,65.354
"Korea, Rep.",22086.9529193201,80.1170731707317
Kuwait,38497.6169579293,73.979
Latin America & Caribbean (excluding high income),8641.87813956247,74.0620335463228
Lao PDR,1141.12711507419,64.357
Lebanon,8858.28397743868,78.43
Liberia,327.420509735634,59.631
Libya,12120.5621692062,71.643
St. Lucia,8007.69648429285,74.465
Latin America & Caribbean,8943.35702203647,74.2220028650889
Least developed countries: UN classification,779.854781335518,61.7791981413611
Low income,522.028283051567,59.3207682011438
Liechtenstein,141165.082856705,81.8414634146342
Sri Lanka,2808.43418467515,74.352
Lower middle income,1692.02701549876,66.2671530475326
Low & middle income,3588.09412408845,68.8680019773677
Lesotho,1169.26784178666,50.826
Late-demographic dividend,6190.83655515179,74.4430068007821
Lithuania,11984.8685698823,73.2682926829268
Luxembourg,104965.306078267,80.6317073170732
Latvia,11326.2194746243,73.4829268292683
"Macao SAR, China",52374.7944457228,82.704
Morocco,2834.20471989688,73.999
Moldova,1631.53583179532,69.616
Madagascar,412.730934137725,63.388
Maldives,7100.40590931813,76.112
Middle East & North Africa,7127.07141457904,72.2717696079666
Mexico,8959.5814158753,76.096
Middle income,3916.75624907283,69.8916203201917
"Macedonia, FYR",4542.90410449183,74.632
Mali,708.370763247419,55.249
Malta,21087.7946931036,81.3975609756098
Myanmar,987.73658320217,65.178
Middle East & North Africa (excluding high income),4122.81186091864,71.7548050000704
Montenegro,6682.28115774575,75.28
Mongolia,2650.35364830438,67.383
Mozambique,419.225814942685,54.7
Mauritania,1203.38366252431,61.997
Mauritius,8000.37643182154,72.9673170731707
Malawi,458.868174427665,57.263
Malaysia,9071.35698672103,74.21
North America,48289.700299921,78.8046115961631
Namibia,5191.58308141444,58.189
Niger,348.151510969273,56.838
Nigeria,2327.32066957391,50.847
Nicaragua,1526.49793806178,73.699
Netherlands,50338.2548273725,80.7024390243902
Norway,87770.2668443401,80.9975609756098
Nepal,592.183521642014,67.914
New Zealand,33691.3483689734,80.7024390243902
OECD members,35903.579273001,79.3609655579765
Oman,19280.7473537557,75.694
Other small states,12214.6056953814,64.9491907478681
Pakistan,1040.14226787636,65.134
Panama,7937.25993090731,76.828
Peru,5022.49319096369,73.681
Philippines,2129.49924655622,68.32
Papua New Guinea,2004.81811175089,64.634
Poland,12597.8623899641,76.2463414634146
Pre-demographic dividend,1366.22411000318,56.941263827174
Puerto Rico,26435.7401871545,78.4081707317073
Portugal,22538.6540773482,79.0268292682927
Paraguay,3225.59175373637,72.285
West Bank and Gaza,2344.3629006545,72.444
Pacific island small states,2892.65151078469,69.5143525936684
Post-demographic dividend,39449.2966554321,79.6891286571787
Qatar,70306.2278449301,77.301
Romania,8297.48362072379,73.4585365853659
Russian Federation,10674.987707365,68.8412195121951
Rwanda,563.491048683175,63.14
South Asia,1252.22796216115,66.8267569031017
Saudi Arabia,19259.5872568465,73.574
Sudan,1476.47808657841,62.62
Senegal,1002.52994032218,64.177
Singapore,46569.6795060716,81.5414634146342
Solomon Islands,1272.44802510598,68.572
Sierra Leone,405.128401768805,48.224
El Salvador,3474.39244489447,71.902
Serbia,5411.87740391911,74.3365853658537
Sub-Saharan Africa (excluding high income),1555.31073222928,56.9422825611616
South Sudan,1562.23934569833,53.655
Sub-Saharan Africa,1556.25667409865,56.943945265329
Small states,10945.6963542305,66.6469087860998
Sao Tome and Principe,1129.75496146201,65.875
Suriname,8303.31332009764,70.335
Slovak Republic,16600.6135880385,75.1121951219512
Slovenia,23437.4720211387,79.4219512195122
Sweden,52076.2559134864,81.4512195121951
Swaziland,3690.23922847955,51.598
Seychelles,10804.6844747547,73.1975609756098
Chad,896.569734113861,50.233
East Asia & Pacific (IDA & IBRD countries),4050.26229857884,73.5318739586159
Europe & Central Asia (IDA & IBRD countries),8234.20665761327,71.3026993953575
Togo,487.923891266382,57.465
Thailand,5075.30217639529,73.923
Tajikistan,738.347522660006,69.644
Turkmenistan,4439.20300021757,66.657
Latin America & the Caribbean (IDA & IBRD countries),8861.94419768969,74.1000758935396
Timor-Leste,806.062774481769,67.313
Middle East & North Africa (IDA & IBRD countries),4143.28874205001,71.7468881033032
Tonga,3548.0683985325,72.173
South Asia (IDA & IBRD),1252.22796216115,66.8267569031017
Sub-Saharan Africa (IDA & IBRD countries),1556.25667409865,56.943945265329
Trinidad and Tobago,16683.9457843568,69.756
Tunisia,4140.1517698059,74.793
Turkey,10672.0548208629,74.154
Tanzania,701.604550062032,60.893
Uganda,595.206173218535,57.153
Ukraine,2965.14236549771,70.2653658536586
Upper middle income,6406.22691386545,73.9473360405375
Uruguay,11938.2120047097,76.588
United States,48373.8788155779,78.5414634146342
Uzbekistan,1377.08214046938,70.005
St. Vincent and the Grenadines,6231.77023247462,72.327
